"","ID","Pub","CRN","informative","biased","credible","false","trustworthy","pol_leaning","familiar_Fox","familiar_Atlantic","familiar_CNN","familiar_SacBee","truthful_Fox","truthful_Atlantic","truthful_CNN","truthful_SacBee","trust_Fox","trust_Atlantic","trust_CNN","trust_SacBee","Pub_familiar","fam_rate","pol_rate","CRN_vs_NoCRN","Mixed_vs_Pol","treatment","pol_knowledge"
"26",7,"FoxNews","c1",5,5,5,5,5,"Republican","No","Yes","Yes","No","No","No","Yes","No","Entirely","Somewhat","Entirely","Entirely","No","High","Conservative",-0.666666666666667,-0.5,0,"high"
"27",7,"Atlantic","c2",4,3,4,4,5,"Republican","No","Yes","Yes","No","No","No","Yes","No","Entirely","Somewhat","Entirely","Entirely","Yes","Medium","Liberal",0.333333333333333,0.5,1,"high"
"28",7,"SacBee","c1",5,5,5,5,5,"Republican","No","Yes","Yes","No","No","No","Yes","No","Entirely","Somewhat","Entirely","Entirely","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"29",8,"CNN","c3",5,1,5,1,5,"Republican","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","High","Liberal",0.333333333333333,0,1,"low"
"30",8,"FoxNews","c1",5,1,5,3,5,"Republican","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","High","Conservative",-0.666666666666667,-0.5,0,"low"
"31",8,"Atlantic","c1",3,3,5,3,3,"Republican","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","No","Medium","Liberal",-0.666666666666667,-0.5,0,"low"
"32",8,"SacBee","c2",5,1,3,3,1,"Republican","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","No","Low","Neutral/Local",0.333333333333333,0.5,1,"low"
"33",9,"CNN","c3",5,5,5,1,5,"Republican","No","Yes","No","No","Yes","No","Yes","No","Somewhat","Somewhat","Somewhat","Somewhat","No","High","Liberal",0.333333333333333,0,1,"low"
"34",9,"FoxNews","c1",5,5,5,5,5,"Republican","No","Yes","No","No","Yes","No","Yes","No","Somewhat","Somewhat","Somewhat","Somewhat","No","High","Conservative",-0.666666666666667,-0.5,0,"low"
"35",9,"Atlantic","c1",5,5,5,5,5,"Republican","No","Yes","No","No","Yes","No","Yes","No","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"low"
"36",9,"SacBee","c2",5,5,5,5,5,"Republican","No","Yes","No","No","Yes","No","Yes","No","Somewhat","Somewhat","Somewhat","Somewhat","No","Low","Neutral/Local",0.333333333333333,0.5,1,"low"
"37",10,"CNN","c3",5,1,5,1,4,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Somewhat","","Barely","","Yes","High","Liberal",0.333333333333333,0,1,"high"
"38",10,"FoxNews","c1",4,4,4,4,3,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Somewhat","","Barely","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"39",10,"Atlantic","c2",2,4,1,5,1,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Somewhat","","Barely","","No","Medium","Liberal",0.333333333333333,0.5,1,"high"
"40",10,"SacBee","c1",5,4,3,2,2,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Somewhat","","Barely","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"41",11,"CNN","c1",5,1,5,4,5,"Independent","Yes","Yes","Yes","No","Yes","No","No","Don't know","A lot","Barely","Not at all","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"42",11,"FoxNews","c3",5,1,5,1,5,"Independent","Yes","Yes","Yes","No","Yes","No","No","Don't know","A lot","Barely","Not at all","","Yes","High","Conservative",0.333333333333333,0,1,"high"
"43",11,"Atlantic","c1",5,3,3,3,2,"Independent","Yes","Yes","Yes","No","Yes","No","No","Don't know","A lot","Barely","Not at all","","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"44",11,"SacBee","c2",5,2,5,1,5,"Independent","Yes","Yes","Yes","No","Yes","No","No","Don't know","A lot","Barely","Not at all","","No","Low","Neutral/Local",0.333333333333333,0.5,1,"high"
"45",12,"CNN","c1",5,1,5,1,5,"Democrat","Yes","Yes","Yes","No","No","Don't know","Yes","Don't know","Not at all","","Somewhat","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"low"
"46",12,"FoxNews","c3",3,1,3,1,3,"Democrat","Yes","Yes","Yes","No","No","Don't know","Yes","Don't know","Not at all","","Somewhat","","Yes","High","Conservative",0.333333333333333,0,1,"low"
"47",12,"Atlantic","c2",5,1,5,1,5,"Democrat","Yes","Yes","Yes","No","No","Don't know","Yes","Don't know","Not at all","","Somewhat","","Yes","Medium","Liberal",0.333333333333333,0.5,1,"low"
"48",12,"SacBee","c1",4,1,5,1,5,"Democrat","Yes","Yes","Yes","No","No","Don't know","Yes","Don't know","Not at all","","Somewhat","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"49",13,"CNN","c1",4,4,5,2,4,"Other Party","Yes","No","No","No","Don't know","No","Don't know","Don't know","Entirely","Not at all","Entirely","Not at all","No","High","Liberal",-0.666666666666667,-0.5,0,"low"
"50",13,"FoxNews","c1",5,4,5,1,5,"Other Party","Yes","No","No","No","Don't know","No","Don't know","Don't know","Entirely","Not at all","Entirely","Not at all","Yes","High","Conservative",-0.666666666666667,-0.5,0,"low"
"51",13,"Atlantic","c3",4,3,5,2,4,"Other Party","Yes","No","No","No","Don't know","No","Don't know","Don't know","Entirely","Not at all","Entirely","Not at all","No","Medium","Liberal",0.333333333333333,0,1,"low"
"52",13,"SacBee","c2",4,3,4,2,4,"Other Party","Yes","No","No","No","Don't know","No","Don't know","Don't know","Entirely","Not at all","Entirely","Not at all","No","Low","Neutral/Local",0.333333333333333,0.5,1,"low"
"53",14,"CNN","c1",4,2,4,2,4,"Independent","Yes","Yes","Yes","Yes","No","No","No","No","Barely","Barely","Barely","Barely","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"54",14,"FoxNews","c2",4,4,3,2,3,"Independent","Yes","Yes","Yes","Yes","No","No","No","No","Barely","Barely","Barely","Barely","Yes","High","Conservative",0.333333333333333,0.5,1,"high"
"55",14,"Atlantic","c1",4,3,3,3,3,"Independent","Yes","Yes","Yes","Yes","No","No","No","No","Barely","Barely","Barely","Barely","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"56",14,"SacBee","c3",4,3,4,2,4,"Independent","Yes","Yes","Yes","Yes","No","No","No","No","Barely","Barely","Barely","Barely","Yes","Low","Neutral/Local",0.333333333333333,0,1,"high"
"57",15,"CNN","c3",5,5,5,1,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","High","Liberal",0.333333333333333,0,1,"high"
"58",15,"FoxNews","c2",1,5,1,5,1,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","High","Conservative",0.333333333333333,0.5,1,"high"
"59",15,"Atlantic","c1",5,3,5,3,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"60",15,"SacBee","c1",5,5,3,3,3,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"61",16,"CNN","c2",4,2,4,2,4,"Independent","Yes","No","Yes","Yes","Don't know","No","No","No","Somewhat","Not at all","Not at all","Not at all","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"62",16,"FoxNews","c1",3,4,2,3,2,"Independent","Yes","No","Yes","Yes","Don't know","No","No","No","Somewhat","Not at all","Not at all","Not at all","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"63",16,"Atlantic","c3",3,3,3,4,3,"Independent","Yes","No","Yes","Yes","Don't know","No","No","No","Somewhat","Not at all","Not at all","Not at all","No","Medium","Liberal",0.333333333333333,0,1,"high"
"64",16,"SacBee","c1",4,2,3,3,4,"Independent","Yes","No","Yes","Yes","Don't know","No","No","No","Somewhat","Not at all","Not at all","Not at all","Yes","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"65",17,"CNN","c1",5,3,5,1,5,"Republican","No","No","No","No","Don't know","Don't know","Don't know","Don't know","","","","","No","High","Liberal",-0.666666666666667,-0.5,0,"high"
"66",17,"FoxNews","c2",3,3,3,3,3,"Republican","No","No","No","No","Don't know","Don't know","Don't know","Don't know","","","","","No","High","Conservative",0.333333333333333,0.5,1,"high"
"67",17,"Atlantic","c3",5,3,4,4,3,"Republican","No","No","No","No","Don't know","Don't know","Don't know","Don't know","","","","","No","Medium","Liberal",0.333333333333333,0,1,"high"
"68",17,"SacBee","c1",3,3,3,3,4,"Republican","No","No","No","No","Don't know","Don't know","Don't know","Don't know","","","","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"69",18,"CNN","c1",3,2,4,2,4,"Democrat","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Somewhat","A lot","A lot","A lot","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"70",18,"FoxNews","c1",5,2,4,2,5,"Democrat","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Somewhat","A lot","A lot","A lot","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"71",18,"Atlantic","c2",5,2,4,2,4,"Democrat","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Somewhat","A lot","A lot","A lot","Yes","Medium","Liberal",0.333333333333333,0.5,1,"high"
"72",18,"SacBee","c3",3,2,3,2,4,"Democrat","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Somewhat","A lot","A lot","A lot","Yes","Low","Neutral/Local",0.333333333333333,0,1,"high"
"73",19,"CNN","c3",5,3,5,1,5,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","Not at all","","Not at all","","Yes","High","Liberal",0.333333333333333,0,1,"high"
"74",19,"FoxNews","c2",2,5,2,4,2,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","Not at all","","Not at all","","Yes","High","Conservative",0.333333333333333,0.5,1,"high"
"75",19,"Atlantic","c1",3,4,3,3,3,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","Not at all","","Not at all","","No","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"76",19,"SacBee","c1",2,5,3,3,3,"Republican","Yes","No","Yes","No","No","Don't know","No","Don't know","Not at all","","Not at all","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"77",20,"CNN","c2",5,1,5,1,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"78",20,"FoxNews","c3",5,1,5,1,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","High","Conservative",0.333333333333333,0,1,"high"
"79",20,"Atlantic","c1",5,1,5,1,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"80",20,"SacBee","c1",5,5,5,1,5,"Republican","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Entirely","Entirely","Entirely","Entirely","Yes","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"81",21,"CNN","c1",5,1,5,1,5,"Democrat","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"82",21,"FoxNews","c3",3,5,2,3,2,"Democrat","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","High","Conservative",0.333333333333333,0,1,"high"
"83",21,"Atlantic","c1",1,1,3,3,3,"Democrat","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"84",21,"SacBee","c2",5,1,4,3,4,"Democrat","Yes","Yes","Yes","No","No","Yes","Yes","Don't know","Not at all","A lot","A lot","","No","Low","Neutral/Local",0.333333333333333,0.5,1,"high"
"85",22,"CNN","c1",2,5,1,3,1,"Democrat","Yes","Yes","Yes","No","Don't know","Yes","Yes","Don't know","Barely","A lot","Somewhat","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"low"
"86",22,"FoxNews","c3",4,3,4,2,4,"Democrat","Yes","Yes","Yes","No","Don't know","Yes","Yes","Don't know","Barely","A lot","Somewhat","","Yes","High","Conservative",0.333333333333333,0,1,"low"
"87",22,"Atlantic","c1",4,3,4,2,3,"Democrat","Yes","Yes","Yes","No","Don't know","Yes","Yes","Don't know","Barely","A lot","Somewhat","","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"low"
"88",22,"SacBee","c2",4,3,3,3,3,"Democrat","Yes","Yes","Yes","No","Don't know","Yes","Yes","Don't know","Barely","A lot","Somewhat","","No","Low","Neutral/Local",0.333333333333333,0.5,1,"low"
"89",23,"CNN","c2",4,1,5,1,4,"Democrat","No","No","No","No","Don't know","Yes","Yes","Don't know","Somewhat","A lot","A lot","","No","High","Liberal",0.333333333333333,0.5,1,"high"
"90",23,"FoxNews","c1",4,2,4,2,3,"Democrat","No","No","No","No","Don't know","Yes","Yes","Don't know","Somewhat","A lot","A lot","","No","High","Conservative",-0.666666666666667,-0.5,0,"high"
"91",23,"Atlantic","c1",1,3,1,5,2,"Democrat","No","No","No","No","Don't know","Yes","Yes","Don't know","Somewhat","A lot","A lot","","No","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"92",23,"SacBee","c3",4,3,5,2,5,"Democrat","No","No","No","No","Don't know","Yes","Yes","Don't know","Somewhat","A lot","A lot","","No","Low","Neutral/Local",0.333333333333333,0,1,"high"
"93",24,"CNN","c1",5,1,5,1,5,"Democrat","Yes","Yes","Yes","No","No","Don't know","Don't know","Don't know","Barely","Somewhat","Somewhat","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"94",24,"FoxNews","c3",4,3,4,1,4,"Democrat","Yes","Yes","Yes","No","No","Don't know","Don't know","Don't know","Barely","Somewhat","Somewhat","","Yes","High","Conservative",0.333333333333333,0,1,"high"
"95",24,"Atlantic","c1",3,1,5,3,4,"Democrat","Yes","Yes","Yes","No","No","Don't know","Don't know","Don't know","Barely","Somewhat","Somewhat","","Yes","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
"96",24,"SacBee","c2",4,1,4,3,4,"Democrat","Yes","Yes","Yes","No","No","Don't know","Don't know","Don't know","Barely","Somewhat","Somewhat","","No","Low","Neutral/Local",0.333333333333333,0.5,1,"high"
"97",25,"CNN","c3",4,3,3,2,4,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Barely","Not at all","Barely","","Yes","High","Liberal",0.333333333333333,0,1,"high"
"98",25,"FoxNews","c1",4,4,4,3,2,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Barely","Not at all","Barely","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"99",25,"Atlantic","c2",2,3,3,3,2,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Barely","Not at all","Barely","","No","Medium","Liberal",0.333333333333333,0.5,1,"high"
"100",25,"SacBee","c1",2,5,2,4,2,"Independent","Yes","No","Yes","No","No","No","No","Don't know","Barely","Not at all","Barely","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"101",26,"CNN","c2",4,3,4,3,3,"Democrat","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","A lot","","A lot","","Yes","High","Liberal",0.333333333333333,0.5,1,"low"
"102",26,"FoxNews","c1",5,3,4,2,4,"Democrat","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","A lot","","A lot","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"low"
"103",26,"Atlantic","c3",4,3,4,3,3,"Democrat","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","A lot","","A lot","","No","Medium","Liberal",0.333333333333333,0,1,"low"
"104",26,"SacBee","c1",4,3,4,3,4,"Democrat","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","A lot","","A lot","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"105",27,"CNN","c2",4,1,5,1,5,"Other Party","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","High","Liberal",0.333333333333333,0.5,1,"low"
"106",27,"FoxNews","c3",4,2,4,2,4,"Other Party","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","High","Conservative",0.333333333333333,0,1,"low"
"107",27,"Atlantic","c1",4,2,4,3,4,"Other Party","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","No","Medium","Liberal",-0.666666666666667,-0.5,0,"low"
"108",27,"SacBee","c1",4,1,5,1,5,"Other Party","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat","Somewhat","Somewhat","Somewhat","Yes","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"109",28,"CNN","c2",4,3,4,4,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","No","Entirely","Barely","Not at all","Not at all","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"110",28,"FoxNews","c1",5,4,4,2,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","No","Entirely","Barely","Not at all","Not at all","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"111",28,"Atlantic","c3",4,2,4,2,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","No","Entirely","Barely","Not at all","Not at all","Yes","Medium","Liberal",0.333333333333333,0,1,"high"
"112",28,"SacBee","c1",5,5,4,4,3,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","No","Entirely","Barely","Not at all","Not at all","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"113",29,"CNN","c1",4,2,5,2,3,"Republican","Yes","Yes","Yes","No","No","No","No","Don't know","Entirely","Somewhat","A lot","Not at all","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"114",29,"FoxNews","c1",4,2,4,2,3,"Republican","Yes","Yes","Yes","No","No","No","No","Don't know","Entirely","Somewhat","A lot","Not at all","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"115",29,"Atlantic","c2",4,2,3,2,3,"Republican","Yes","Yes","Yes","No","No","No","No","Don't know","Entirely","Somewhat","A lot","Not at all","Yes","Medium","Liberal",0.333333333333333,0.5,1,"high"
"116",29,"SacBee","c3",4,2,4,3,3,"Republican","Yes","Yes","Yes","No","No","No","No","Don't know","Entirely","Somewhat","A lot","Not at all","No","Low","Neutral/Local",0.333333333333333,0,1,"high"
"117",30,"CNN","c2",4,4,4,2,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","Don't know","Entirely","A lot","Not at all","","Yes","High","Liberal",0.333333333333333,0.5,1,"high"
"118",30,"FoxNews","c1",5,5,5,1,5,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","Don't know","Entirely","A lot","Not at all","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"high"
"119",30,"Atlantic","c3",5,5,5,1,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","Don't know","Entirely","A lot","Not at all","","Yes","Medium","Liberal",0.333333333333333,0,1,"high"
"120",30,"SacBee","c1",4,4,4,2,4,"Republican","Yes","Yes","Yes","No","Yes","Yes","No","Don't know","Entirely","A lot","Not at all","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"high"
"121",31,"CNN","c2",5,2,5,1,4,"Democrat","Yes","No","Yes","No","Don't know","Don't know","Don't know","Don't know","","","","","Yes","High","Liberal",0.333333333333333,0.5,1,"low"
"122",31,"FoxNews","c1",4,3,4,3,4,"Democrat","Yes","No","Yes","No","Don't know","Don't know","Don't know","Don't know","","","","","Yes","High","Conservative",-0.666666666666667,-0.5,0,"low"
"123",31,"Atlantic","c3",5,2,4,2,4,"Democrat","Yes","No","Yes","No","Don't know","Don't know","Don't know","Don't know","","","","","No","Medium","Liberal",0.333333333333333,0,1,"low"
"124",31,"SacBee","c1",4,3,3,2,4,"Democrat","Yes","No","Yes","No","Don't know","Don't know","Don't know","Don't know","","","","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"125",32,"CNN","c1",3,3,3,3,3,"Independent","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","Somewhat","","Somewhat","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"low"
"126",32,"FoxNews","c2",5,3,3,1,1,"Independent","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","Somewhat","","Somewhat","","Yes","High","Conservative",0.333333333333333,0.5,1,"low"
"127",32,"Atlantic","c3",3,3,3,3,3,"Independent","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","Somewhat","","Somewhat","","No","Medium","Liberal",0.333333333333333,0,1,"low"
"128",32,"SacBee","c1",3,3,5,1,5,"Independent","Yes","No","Yes","No","Yes","Don't know","Yes","Don't know","Somewhat","","Somewhat","","No","Low","Neutral/Local",-0.666666666666667,-0.5,0,"low"
"129",33,"CNN","c1",5,1,5,1,5,"Democrat","Yes","No","Yes","No","No","Don't know","No","Don't know","Barely","","Somewhat","","Yes","High","Liberal",-0.666666666666667,-0.5,0,"high"
"130",33,"FoxNews","c2",5,2,4,2,4,"Democrat","Yes","No","Yes","No","No","Don't know","No","Don't know","Barely","","Somewhat","","Yes","High","Conservative",0.333333333333333,0.5,1,"high"
"131",33,"Atlantic","c1",5,1,5,1,5,"Democrat","Yes","No","Yes","No","No","Don't know","No","Don't know","Barely","","Somewhat","","No","Medium","Liberal",-0.666666666666667,-0.5,0,"high"
